session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,fqid,room_fqid,text_fqid,fullscreen,hq,music,level_group
20090312431273200,0,0,cutscene_click,basic,0,,-413.9914,-159.31468,380.0,494.0,,undefined,intro,tunic.historicalsociety.closet,tunic.historicalsociety.closet.intro,0,0,1,0-4
20090312431273200,1,1323,person_click,basic,0,,-413.9914,-159.31468,380.0,494.0,,"Whatcha doing over there, Jo?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
20090312431273200,2,831,person_click,basic,0,,-413.9914,-159.31468,380.0,494.0,,Just talking to Teddy.,gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
20090312431273200,3,1147,person_click,basic,0,,-413.9914,-159.31468,380.0,494.0,,I gotta run to my meeting!,gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
20090312431273200,4,1863,person_click,basic,0,,-412.9914,-159.31468,381.0,494.0,,"Can I come, Gramps?",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
20090312431273200,5,3423,person_click,basic,0,,-412.9914,-157.31468,381.0,492.0,,"Sure thing, Jo. Grab your notebook and come upstairs!",gramps,tunic.historicalsociety.closet,tunic.historicalsociety.closet.gramps.intro_0_cs_0,0,0,1,0-4
20090312431273200,6,5197,person_click,basic,0,,478.48508,-199.97168,593.0,485.0,,"See you later, Teddy.",teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
20090312431273200,7,6180,person_click,basic,0,,503.35513,-168.61992,609.0,453.0,,I get to go to Gramps's meeting!,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
20090312431273200,8,7014,person_click,basic,0,,510.73343,-157.72064,615.0,442.0,,Now where did I put my notebook?,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
20090312431273200,9,7946,person_click,basic,0,,512.04803,-153.74364,616.0,438.0,,\u00f0\u0178\u02dc\u00b4,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_0,0,0,1,0-4
20090312431273200,10,9133,navigate_click,undefined,0,,501.11005,-160.74817,605.0,445.0,,,teddy,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,11,10263,person_click,basic,0,,501.085,-164.76236,605.0,445.0,,\u00f0\u0178\u02dc\u00b4,teddy,tunic.historicalsociety.closet,tunic.historicalsociety.closet.teddy.intro_0_cs_5,0,0,1,0-4
20090312431273200,12,12030,navigate_click,undefined,0,,510.08148,-106.3521,614.0,386.0,,,photo,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,13,13030,observation_click,basic,0,,486.87747,-98.53829,614.0,386.0,,I love these photos of me and Teddy!,photo,tunic.historicalsociety.closet,tunic.historicalsociety.closet.photo,0,0,1,0-4
20090312431273200,14,14814,navigate_click,undefined,0,,273.99142,-196.80237,406.0,486.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,15,15498,navigate_click,undefined,0,,185.70847,-205.80653,363.0,492.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,16,16046,navigate_click,undefined,0,,0.5835648,-225.6913,234.0,510.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,17,17462,navigate_click,undefined,0,,350.34427,-173.94862,766.0,454.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,18,18164,navigate_click,undefined,0,,-37.961716,-255.71112,301.0,542.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,19,18796,navigate_click,undefined,0,,-133.23676,-251.37604,203.0,531.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,20,19380,navigate_click,undefined,0,,-253.40184,-253.02303,201.0,530.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,21,20014,navigate_click,undefined,0,,-385.09622,-253.13466,197.0,529.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,22,20681,navigate_click,undefined,0,,-564.0557,-216.50742,133.0,492.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,23,21413,navigate_click,undefined,0,,-720.3253,-207.42992,99.0,487.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,24,22013,navigate_click,undefined,0,,-818.1289,-194.24464,92.0,476.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,25,22996,navigate_click,undefined,0,,-924.69257,-254.28055,75.0,539.0,,,notebook,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,26,24348,notification_click,basic,0,,-472.1427,-117.94285,554.0,394.0,,Found it!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.notebook,0,0,1,0-4
20090312431273200,27,25766,object_click,close,0,,-206.47147,199.15527,822.0,76.0,,,notebook,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,28,28113,navigate_click,undefined,1,,-587.6579,-27.916914,441.0,303.0,,,retirement_letter,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,29,32229,notification_click,basic,1,,-182.55817,-1.9065009,767.0,305.0,,Gramps is in trouble for losing papers?,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
20090312431273200,30,33063,notification_click,basic,1,,-182.5007,-55.888298,767.0,359.0,,This can't be right!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
20090312431273200,31,34245,notification_click,basic,1,,-182.48653,-55.883804,767.0,359.0,,Gramps is a great historian!,,tunic.historicalsociety.closet,tunic.historicalsociety.closet.retirement_letter.hub,0,0,1,0-4
20090312431273200,32,36433,object_click,close,1,,-113.48483,241.11673,836.0,62.0,,,retirement_letter,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,33,36346,navigate_click,undefined,1,,-453.4847,-193.88324,496.0,497.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,34,36896,navigate_click,undefined,1,,-381.245,-22.454632,525.0,316.0,,,,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,35,37445,navigate_click,undefined,1,,-358.83203,54.847824,462.0,249.0,,,tobasement,tunic.historicalsociety.closet,,0,0,1,0-4
20090312431273200,36,39845,navigate_click,undefined,1,,-234.24782,-77.052216,245.0,376.0,,,janitor,tunic.historicalsociety.basement,,0,0,1,0-4
20090312431273200,37,41297,observation_click,basic,1,,-400.31168,-117.476456,179.0,405.0,,Hmm. Button's still not working.,janitor,tunic.historicalsociety.basement,tunic.historicalsociety.basement.janitor,0,0,1,0-4
20090312431273200,38,41898,navigate_click,undefined,1,,-418.3706,-120.264336,172.0,407.0,,,,tunic.historicalsociety.basement,,0,0,1,0-4
20090312431273200,39,43413,navigate_click,undefined,1,,-486.266,-109.112816,151.0,399.0,,,toentry,tunic.historicalsociety.basement,,0,0,1,0-4
20090312431273200,40,44196,navigate_click,undefined,1,,385.58798,-135.77669,461.0,413.0,,,groupconvo,tunic.historicalsociety.entry,,0,0,1,0-4
20090312431273200,41,45062,cutscene_click,basic,1,,93.81171,-60.34545,338.0,368.0,,Let's get started. The Wisconsin Wonders exhibit opens tomorrow!,groupconvo,tunic.historicalsociety.entry,tunic.historicalsociety.entry.groupconvo,0,0,1,0-4
